domain,label,family,split
google.com,0,popular-benign,train
microsoft.com,0,popular-benign,train
github.com,0,popular-benign,train
wikipedia.org,0,popular-benign,train
amazon.in,0,popular-benign,train
cloudflare.com,0,popular-benign,train
openstreetmap.org,0,popular-benign,train
python.org,0,popular-benign,train
ubuntu.com,0,popular-benign,train
stackoverflow.com,0,popular-benign,train
xq7v9k2m4p8z1c6n.biz,1,synthetic-train-alpha,train
q9w3e7r1t5y8u2i4.info,1,synthetic-train-alpha,train
z8x6c4v2b9n7m5k3.top,1,synthetic-train-alpha,train
p7o3i9u5y1t8r4e6.xyz,1,synthetic-train-alpha,train
m4n8b2v6c9x3z7q1.biz,1,synthetic-train-alpha,train
r9t5y1u7i3o8p4a6.info,1,synthetic-train-alpha,train
k3j7h1g9f5d2s8a4.top,1,synthetic-train-alpha,train
c8v4b1n7m3q9w5e2.xyz,1,synthetic-train-alpha,train
l2k6j9h4g8f1d7s3.biz,1,synthetic-train-alpha,train
w5e9r2t6y1u7i3o8.info,1,synthetic-train-alpha,train
cdn.jsdelivr.net,0,hosted-service-benign,test
assets.adobedtm.com,0,hosted-service-benign,test
githubusercontent.com,0,hosted-service-benign,test
akamaized.net,0,cdn-benign,test
office.com,0,hosted-service-benign,test
example.com,0,reserved-benign,test
v8m2q6z9x4c7n1k5.biz,1,synthetic-holdout-gamma,test
t3y7u1i5o9p4a8s2.info,1,synthetic-holdout-gamma,test
b6n2m8v4c1x7z3q9.top,1,synthetic-holdout-gamma,test
f9g5h1j7k3l8p4o2.xyz,1,synthetic-holdout-gamma,test
d4s8a2q6w9e3r7t1.biz,1,synthetic-holdout-gamma,test
u7i3o9p5a1s8d4f6.info,1,synthetic-holdout-gamma,test
